epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.4129,0.75491,0.51923,1,0.71286,6.668e-05,6.668e-05,6.668e-05
2,55.9921,0.68567,0.55769,1,0.65022,0.000145079,0.000145079,0.000145079
3,81.5352,0.5928,0.78846,1,0.5224,0.000217977,0.000217977,0.000217977
4,105.676,0.48526,0.90385,1,0.37499,0.000285374,0.000285374,0.000285374
5,131.551,0.39439,0.90385,1,0.23547,0.000347269,0.000347269,0.000347269
6,157.185,0.3711,0.90385,1,0.17678,0.000403664,0.000403664,0.000403664
7,182.521,0.34322,0.86538,1,0.2942,0.000454558,0.000454558,0.000454558
8,207.243,0.26808,0.61538,1,0.9942,0.00049995,0.00049995,0.00049995
9,233.598,0.25236,0.67308,1,0.86059,0.000539841,0.000539841,0.000539841
10,259.801,0.24413,0.82692,1,0.40584,0.000574231,0.000574231,0.000574231
11,285.972,0.17589,0.84615,1,0.48626,0.000603121,0.000603121,0.000603121
12,311.436,0.19223,0.84615,1,0.52986,0.000626509,0.000626509,0.000626509
13,337.712,0.15978,0.86538,1,0.4563,0.000644396,0.000644396,0.000644396
14,363.084,0.12205,0.90385,1,0.4035,0.000656781,0.000656781,0.000656781
15,387.598,0.17348,0.92308,1,0.34362,0.000663666,0.000663666,0.000663666
16,411.739,0.1406,0.92308,1,0.25572,0.00066505,0.00066505,0.00066505
17,436.518,0.13461,0.96154,1,0.23631,0.000660932,0.000660932,0.000660932
18,462.099,0.12519,0.90385,1,0.23635,0.000651314,0.000651314,0.000651314
19,488.037,0.16342,0.90385,1,0.27719,0.000636194,0.000636194,0.000636194
20,513.904,0.13359,0.80769,1,0.73519,0.000615573,0.000615573,0.000615573
21,539.806,0.11455,0.76923,1,0.85145,0.00056678,0.00056678,0.00056678
22,565.624,0.15234,0.90385,1,0.4469,0.000511769,0.000511769,0.000511769
23,591.364,0.08878,0.86538,1,0.36942,0.000456758,0.000456758,0.000456758
24,619.297,0.07335,0.86538,1,0.41383,0.000401747,0.000401747,0.000401747
25,645.329,0.10985,0.86538,1,0.37729,0.000346736,0.000346736,0.000346736
26,671.707,0.10458,0.88462,1,0.31243,0.000291725,0.000291725,0.000291725
27,697.467,0.06761,0.88462,1,0.29347,0.000236714,0.000236714,0.000236714
28,723.697,0.08581,0.88462,1,0.28116,0.000181703,0.000181703,0.000181703
29,749.587,0.09105,0.88462,1,0.24369,0.000126692,0.000126692,0.000126692
30,776.346,0.04111,0.88462,1,0.2873,7.1681e-05,7.1681e-05,7.1681e-05
