epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.69141,1.42867,3.10911,1.52283,0.00494,0.93478,0.36532,0.21745,1.20071,2.91323,1.17897,0.00015003,0.00015003,0.00015003
2,11.9921,1.12199,2.61252,1.3163,0.00471,0.95652,0.4284,0.30033,1.05229,2.71051,1.08831,0.000306278,0.000306278,0.000306278
3,17.9284,1.14364,2.04838,1.31901,0.26508,0.23333,0.44402,0.28435,1.22927,2.40028,1.14763,0.000451524,0.000451524,0.000451524
4,24.1097,1.16373,1.77403,1.32656,0.51862,0.45487,0.51008,0.31741,1.36093,2.30079,1.26311,0.000585767,0.000585767,0.000585767
5,30.4415,1.19948,1.55941,1.36425,0.64498,0.62246,0.66,0.43838,1.27262,1.73705,1.22982,0.000709008,0.000709008,0.000709008
6,40.0246,1.16381,1.45185,1.35376,0.67042,0.69786,0.69672,0.45865,1.22645,2.19655,1.22054,0.000821248,0.000821248,0.000821248
7,47.4245,1.10303,1.35669,1.31364,0.45729,0.68406,0.55986,0.33004,1.29689,3.12618,1.3098,0.000922484,0.000922484,0.000922484
8,53.5887,1.0689,1.3481,1.27759,0.8358,0.54044,0.65636,0.36685,1.43522,1.81518,1.40591,0.00101272,0.00101272,0.00101272
9,59.3463,1.10233,1.29012,1.28791,0.45479,0.51527,0.48878,0.30419,1.23557,1.74204,1.20023,0.00109195,0.00109195,0.00109195
10,65.479,1.045,1.24849,1.23198,0.37741,0.53948,0.37166,0.16016,1.362,2.7368,1.28311,0.00116018,0.00116018,0.00116018
11,71.5258,1.02413,1.15266,1.23254,0.42448,0.63308,0.53766,0.33445,1.33743,2.36882,1.31671,0.00111689,0.00111689,0.00111689
12,77.7874,1.02146,1.30338,1.26872,0.5459,0.74275,0.61918,0.3973,1.39246,3.05842,1.44501,0.00106188,0.00106188,0.00106188
13,83.6245,0.97229,1.15583,1.23286,0.43334,0.41983,0.40956,0.27301,1.29423,3.63561,1.31534,0.00100687,0.00100687,0.00100687
14,89.6713,0.94589,1.14376,1.20527,0.52319,0.66957,0.59362,0.40691,1.19501,1.90954,1.16393,0.000951857,0.000951857,0.000951857
15,95.5962,1.04718,1.18004,1.24774,0.71322,0.83818,0.7757,0.53084,1.08974,1.36356,1.08112,0.000896846,0.000896846,0.000896846
16,102.337,0.96184,1.1261,1.22152,0.40429,0.56812,0.4377,0.31489,1.10302,2.15862,1.06707,0.000841835,0.000841835,0.000841835
17,108.703,0.97188,1.12384,1.20013,0.62909,0.73923,0.71988,0.52144,1.03527,1.70316,1.02086,0.000786824,0.000786824,0.000786824
18,115.119,0.96197,1.10499,1.19813,0.90623,0.7758,0.83534,0.60001,1.03988,1.28048,1.04526,0.000731813,0.000731813,0.000731813
19,121.099,0.94025,1.08875,1.19333,0.78959,0.74227,0.77426,0.56035,1.06113,1.36377,1.07419,0.000676802,0.000676802,0.000676802
20,126.832,0.9324,1.06558,1.20954,0.80641,0.73116,0.78315,0.55605,1.03694,1.40478,1.11675,0.000621791,0.000621791,0.000621791
21,132.395,0.90593,1.59575,1.191,0.77276,0.70942,0.77568,0.57813,1.01841,1.4456,1.10666,0.00056678,0.00056678,0.00056678
22,137.726,0.84847,1.25082,1.13926,0.70083,0.68623,0.63847,0.40955,1.13331,1.75753,1.13683,0.000511769,0.000511769,0.000511769
23,143.1,0.80879,1.23692,1.12439,0.67782,0.63768,0.62361,0.40985,1.14141,1.76536,1.12235,0.000456758,0.000456758,0.000456758
24,148.39,0.82588,1.164,1.11991,0.64624,0.76449,0.66194,0.45267,1.21318,1.60467,1.22433,0.000401747,0.000401747,0.000401747
25,155.074,0.81702,1.09705,1.11763,0.71173,0.75435,0.75129,0.50932,1.18785,1.38872,1.2306,0.000346736,0.000346736,0.000346736
26,161.515,0.78796,1.07989,1.10786,0.73088,0.85051,0.82205,0.5466,1.15424,1.2452,1.18482,0.000291725,0.000291725,0.000291725
27,167.432,0.73212,0.97231,1.07389,0.85172,0.84783,0.87348,0.57762,1.113,1.2276,1.13146,0.000236714,0.000236714,0.000236714
28,173.528,0.74702,0.95382,1.0821,0.92921,0.90529,0.91705,0.62565,1.02205,1.14716,1.06432,0.000181703,0.000181703,0.000181703
29,179.408,0.69742,0.9153,1.05124,0.90112,0.87464,0.88762,0.63393,0.97447,1.12057,1.03207,0.000126692,0.000126692,0.000126692
30,185.03,0.74111,0.92987,1.07405,0.92801,0.88738,0.90146,0.66574,0.93736,1.09613,1.00743,7.1681e-05,7.1681e-05,7.1681e-05
