epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80159,1.57604,3.23842,1.59961,0.00496,0.83542,0.15766,0.09134,1.64694,3.28542,1.66561,6.668e-05,6.668e-05,6.668e-05
2,16.4721,1.31849,3.11113,1.48647,0.00513,0.84792,0.28127,0.17314,1.61537,3.23537,1.5133,0.000145079,0.000145079,0.000145079
3,24.8312,1.22918,2.88285,1.41068,0.00523,0.86042,0.30132,0.19434,1.47503,3.15191,1.30783,0.000217977,0.000217977,0.000217977
4,32.8629,1.2283,2.58962,1.39196,0.0052,0.9,0.37017,0.24396,1.2218,2.98482,1.13178,0.000285374,0.000285374,0.000285374
5,40.7994,1.31406,2.2876,1.43529,0.77226,0.07292,0.25988,0.15278,1.32848,2.89535,1.15759,0.000347269,0.000347269,0.000347269
6,49.0747,1.30939,2.11266,1.39171,0.7138,0.35452,0.36686,0.22803,1.43597,2.66366,1.35104,0.000403664,0.000403664,0.000403664
7,57.3709,1.20222,1.87137,1.34376,0.78279,0.23058,0.33631,0.17294,1.35763,2.57314,1.42202,0.000454558,0.000454558,0.000454558
8,65.738,1.26486,1.82031,1.40202,0.48671,0.4625,0.4821,0.29263,1.35183,2.36741,1.28942,0.00049995,0.00049995,0.00049995
9,73.9566,1.15937,1.65438,1.37961,0.60597,0.47257,0.48809,0.32138,1.38767,1.93535,1.20566,0.000539841,0.000539841,0.000539841
10,82.6973,1.18762,1.66586,1.32664,0.46922,0.30889,0.35507,0.20385,1.3559,1.91692,1.20067,0.000574231,0.000574231,0.000574231
11,90.8237,1.26388,1.66651,1.34873,0.47671,0.40859,0.41582,0.24051,1.37444,1.91351,1.25509,0.000603121,0.000603121,0.000603121
12,98.8214,1.16625,1.61925,1.31119,0.41734,0.31667,0.35382,0.18657,1.4352,2.32347,1.33613,0.000626509,0.000626509,0.000626509
13,107.193,1.16574,1.56418,1.3022,0.37389,0.28958,0.28304,0.14142,1.55082,2.53021,1.39803,0.000644396,0.000644396,0.000644396
14,115.292,1.14931,1.46922,1.28998,0.32813,0.33125,0.25869,0.11984,1.8125,2.51783,1.63612,0.000656781,0.000656781,0.000656781
15,123.157,1.14361,1.50454,1.31352,0.48474,0.43125,0.37164,0.18723,1.83112,2.32116,1.61288,0.000663666,0.000663666,0.000663666
16,131.473,1.09751,1.45241,1.27321,0.66724,0.46458,0.49695,0.31299,1.6119,2.10757,1.34337,0.00066505,0.00066505,0.00066505
17,139.395,1.10635,1.38165,1.27555,0.88885,0.47917,0.55124,0.36817,1.53398,1.97538,1.38362,0.000660932,0.000660932,0.000660932
18,147.446,1.11376,1.42047,1.31327,0.72829,0.44343,0.52599,0.33825,1.53768,2.08549,1.35819,0.000651314,0.000651314,0.000651314
19,155.414,1.1223,1.43225,1.29752,0.54363,0.5,0.51948,0.31251,1.50729,2.00733,1.29563,0.000636194,0.000636194,0.000636194
20,163.788,1.07641,1.44509,1.26859,0.64662,0.41458,0.47731,0.26269,1.66866,2.20474,1.50541,0.000615573,0.000615573,0.000615573
21,172.126,1.14215,1.79994,1.32313,0.55921,0.29554,0.36141,0.21455,1.72064,2.6134,1.48959,0.00056678,0.00056678,0.00056678
22,180.322,1.07213,1.64824,1.21038,0.43795,0.25417,0.26241,0.17741,1.90762,3.44943,1.61195,0.000511769,0.000511769,0.000511769
23,188.519,0.98923,1.55818,1.21033,0.72877,0.35611,0.45122,0.29977,1.41175,2.09322,1.23695,0.000456758,0.000456758,0.000456758
24,196.619,0.91225,1.47187,1.13825,0.85526,0.46466,0.56326,0.37702,1.18834,1.70501,1.15148,0.000401747,0.000401747,0.000401747
25,204.769,0.92479,1.41085,1.16952,0.80636,0.46245,0.52695,0.36064,1.38586,2.07141,1.287,0.000346736,0.000346736,0.000346736
26,212.853,0.91313,1.32248,1.15381,0.66587,0.44583,0.48518,0.32741,1.51238,2.20022,1.38631,0.000291725,0.000291725,0.000291725
27,220.874,0.91633,1.26925,1.15076,0.7399,0.51667,0.52564,0.34117,1.48799,2.021,1.31622,0.000236714,0.000236714,0.000236714
28,229.261,0.88263,1.27955,1.13451,0.80963,0.5192,0.55244,0.36361,1.43874,1.79691,1.23384,0.000181703,0.000181703,0.000181703
29,237.148,0.80675,1.1751,1.11573,0.76337,0.53625,0.57331,0.38812,1.3993,1.72552,1.20641,0.000126692,0.000126692,0.000126692
30,245.411,0.84984,1.24559,1.13408,0.77668,0.54167,0.58496,0.39865,1.3662,1.78215,1.2003,7.1681e-05,7.1681e-05,7.1681e-05
